,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Normal,Reconnaissance,Shellcode,Worms
Analysis,33,266,80,45,172,17,0,61,3,0
Backdoor,19,191,75,11,197,17,0,66,6,1
DoS,182,1976,544,764,385,24,0,131,73,10
Exploits,233,1950,414,7246,653,40,0,489,90,17
Fuzzers,52,513,147,447,4198,34,0,242,426,3
Generic,3,13,70,454,190,17956,0,111,72,2
Normal,0,0,0,0,0,0,37000,0,0,0
Reconnaissance,23,241,34,169,66,1,0,2927,33,2
Shellcode,0,1,4,38,33,0,0,35,267,0
Worms,0,0,1,16,3,0,0,0,1,23
