model,accuracy,balanced_accuracy,macro_f1,train_seconds,predict_seconds,feature_count,test_samples,log_loss,brier_macro,ece
rf_all,0.863418840790944,0.6156816163649195,0.5623861671249668,4.0596435999905225,0.41860400000587106,43,82332,0.39766803107822507,0.017023716486581675,0.054028582090862184
rf_chi2,0.8548923869212457,0.5870659049684485,0.5328172296460899,2.8270786000066437,0.3980677999788895,20,82332,0.4396686422905687,0.018602473758316317,0.04426943598778373
extra_trees_chi2,0.8386654034883156,0.5936319778243443,0.4995665293224009,1.9961145000124816,0.42545210002572276,20,82332,0.5098643304809959,0.02200788832839815,0.04314442950534033
xgboost_chi2,0.8791721323422241,0.554259125264546,0.542042699315353,5.233762599993497,0.31786860001739115,20,82332,0.3064176171029644,0.014758403019317435,0.023793085865253884
