,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,101,0,0,0,0
Brute Force,0,90,0,1,10
DoS/DDoS,0,0,99,1,1
Normal,2,0,0,99,0
Web Attack,0,9,1,0,91
