,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,291,0,0,1,0
Brute Force,0,1455,0,2,136
DoS/DDoS,0,0,2997,3,0
Normal,25,0,5,2970,0
Web Attack,0,13,0,2,86
