,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,0.9965753424657534,0.0,0.0,0.003424657534246575,0.0
Brute Force,0.0,0.9077212806026366,0.0012554927809165098,0.0018832391713747645,0.08913998744507219
DoS/DDoS,0.0,0.0,0.999,0.001,0.0
Normal,0.006666666666666667,0.0,0.0013333333333333333,0.992,0.0
Web Attack,0.0,0.1188118811881188,0.0,0.019801980198019802,0.8613861386138614
