,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,291,0,0,1,0
Brute Force,0,1460,1,1,131
DoS/DDoS,0,0,2994,6,0
Normal,19,0,2,2979,0
Web Attack,0,13,0,2,86
