,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,293,0,0,0,0
Brute Force,0,1459,0,2,132
DoS/DDoS,0,0,2993,6,0
Normal,13,0,4,2983,0
Web Attack,0,14,0,2,85
