,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,293,0,0,0,0
Brute Force,0,1400,0,3,190
DoS/DDoS,0,0,2997,1,1
Normal,52,1,7,2924,16
Web Attack,0,2,0,2,97
