,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,293,0,0,0,0
Brute Force,0,1456,0,1,136
DoS/DDoS,0,0,2994,5,0
Normal,18,0,4,2978,0
Web Attack,0,13,0,2,86
