class,model,test_support_total,precision,recall,f1-score,support,predicted_as_normal_rate
R2L,rf_chi2,2754,0.9751861042183623,0.14270152505446623,0.2489705416534685,2754.0,0.8529411764705882
U2R,rf_chi2,200,0.4,0.04,0.07272727272727272,200.0,0.93
