model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,train_seconds,predict_seconds,feature_count,n_estimators,min_samples_leaf,test_samples
rf_all,0.7452980837473385,0.4913274834520046,0.7769655122638823,0.4913274834520046,0.5119148508675198,2.2348136999935377,0.049934999988181517,122,100.0,2,22544
rf_chi2,0.7498225691980128,0.5005291847318264,0.7640475431715412,0.5005291847318264,0.5277707811812772,1.8468289999873377,0.042945099994540215,60,100.0,2,22544
extra_trees_chi2,0.7799414478353442,0.5706523491593728,0.7561530602795502,0.5706523491593728,0.5990662620123777,2.0586802000179887,0.04295910001383163,60,100.0,2,22544
decision_tree_chi2,0.7560326472675657,0.5246673682979552,0.6082226460286205,0.5246673682979552,0.5401073172510455,0.5550248999788892,0.0055850000062491745,60,,2,22544
