class,model,test_support_total,precision,recall,f1-score,support,predicted_as_normal_rate
R2L,decision_tree_chi2,2754,0.5835866261398176,0.20915032679738563,0.3079390537289495,2754.0,0.770878721859114
U2R,decision_tree_chi2,200,0.22727272727272727,0.1,0.1388888888888889,200.0,0.825
