class,model,test_support_total,precision,recall,f1-score,support,predicted_as_normal_rate
R2L,extra_trees_chi2,2754,0.9649122807017544,0.19970951343500362,0.3309265944645006,2754.0,0.7824981844589688
U2R,extra_trees_chi2,200,0.38202247191011235,0.17,0.23529411764705882,200.0,0.725
