class,model,test_support_total,precision,recall,f1-score,support,predicted_as_normal_rate
R2L,rf_all,2754,0.9773584905660377,0.09404502541757444,0.17157999337528984,2754.0,0.9019607843137255
U2R,rf_all,200,0.47058823529411764,0.04,0.07373271889400922,200.0,0.925
