,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,291,0,0,1,0
Brute Force,0,1478,0,3,112
DoS/DDoS,0,0,29986,11,0
Normal,133,1,13,29848,4
Web Attack,0,19,3,4,75
