,precision,recall,f1-score,support
Bot,0.6799065420560748,0.9965753424657534,0.8083333333333333,292.0
Brute Force,0.9860372340425532,0.9309478970495919,0.9577010009686794,1593.0
DoS/DDoS,0.9993667510998534,0.9995999599959996,0.9994833419443009,29997.0
Normal,0.9993636972538513,0.9947331577719257,0.99704305117025,29999.0
Web Attack,0.4032258064516129,0.7425742574257426,0.5226480836236934,101.0
accuracy,0.995046949114259,0.995046949114259,0.995046949114259,0.995046949114259
macro avg,0.813580006180789,0.9328861229418026,0.8570417622080514,61982.0
weighted avg,0.9965462846830107,0.995046949114259,0.9955508822671415,61982.0
