,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,291,0,0,1,0
Brute Force,0,1479,0,3,111
DoS/DDoS,0,0,29986,11,0
Normal,138,1,15,29841,4
Web Attack,0,16,3,4,78
