accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,log_loss,brier,ece,mce,aurc,risk_at_90,risk_at_95,model,seed,train_seconds,predict_seconds,test_samples,rejected_count,coverage
0.995046949114259,0.938331187222242,0.813973379384287,0.938331187222242,0.8583951259211183,0.0136482894935363,0.001512175807165,0.0018938973504999,0.601747423505828,6.002270209907092e-05,7.170514842965726e-05,0.0001868111339435,rccf,7,684.7228768000023,0.5489082999993116,61982,6137,0.9009873834339002
0.9950146816817784,0.935405702968177,0.8125162883774285,0.935405702968177,0.8569117904135732,0.0141563402979269,0.0015497538753934,0.0011672194882071,0.1602153186497479,6.757195323469129e-05,8.963143553707156e-05,0.000203793964302,rccf,13,709.0026236000012,0.5444347000011476,61982,6186,0.9001968313381304
0.995046949114259,0.9328861229418026,0.813580006180789,0.9328861229418026,0.8570417622080514,0.0138247116624241,0.0015292623911347,0.0013244655736673,0.6071756771485405,6.465893300863773e-05,8.963143553707156e-05,0.0001868111339435,rccf,42,716.3414038999999,0.5546148000012181,61982,6208,0.8998418895808461
0.9949824142492982,0.9322650425512332,0.8116257268063733,0.9322650425512332,0.8549127856463585,0.014039438175433,0.0015353021418641,0.0013848915932391,0.2970693423055505,6.527583576991248e-05,8.963143553707156e-05,0.000203793964302,rccf,101,677.0103510999979,0.5124615000022459,61982,6183,0.9002452324868511
0.9949985479655384,0.9326283579412268,0.8122172665458824,0.9326283579412268,0.8557943323257085,0.0136378020075467,0.0014868580297827,0.0014758040767465,0.6425381857260408,6.310678982254153e-05,7.170514842965726e-05,0.0001868111339435,rccf,202,672.8703778000017,0.5152917000013986,61982,6220,0.8996482849859637
0.995046949114259,0.9248731155844808,0.8120557966387676,0.9248731155844808,0.8536281077337895,0.0132795678490056,0.0014487470755822,0.0012714720577688,0.6104009832435917,5.960434290288973e-05,8.963143553707156e-05,0.0001868111339435,rccf,303,669.995881699997,0.6014439999999013,61982,6199,0.8999870930270079
0.995046949114259,0.9305559450878146,0.8126125528250926,0.9305559450878146,0.8554219815119932,0.0137460929409595,0.001504236885096,0.0014665319864561,0.1712183892958205,6.344508828954644e-05,8.963143553707156e-05,0.0001868111339435,rccf,404,671.6441851000018,0.5110422000034305,61982,6240,0.8993256106611597
0.9950308153980189,0.9333199550034612,0.8132077359363427,0.9333199550034612,0.8566654553194171,0.0136822216608179,0.0014936921523064,0.0013754430541848,0.1363533039526426,6.431299054509334e-05,7.170514842965726e-05,0.0001868111339435,rccf,505,727.8193056000018,0.6942997999976797,61982,6155,0.9006969765415765
0.995046949114259,0.9325294753297128,0.8127528432647797,0.9325294753297128,0.8559663104140549,0.0135908629389547,0.0014809832089369,0.0016971070474293,0.2952364044876366,6.231655433427757e-05,8.963143553707156e-05,0.000169828303585,rccf,2024,721.2943984999984,0.597124600000825,61982,6152,0.9007453776902972
0.9950953502629796,0.9323117121070184,0.8128940651088155,0.9323117121070184,0.8559165846698628,0.0135116793130922,0.0014473735678121,0.0018983449631906,0.3528459190429284,6.343264377353265e-05,0.0001075577226444,0.0002207767946605,rccf,3407,720.038923600001,0.7086579999995593,61982,6187,0.9001806976218902
