,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,291,0,0,1,0
Brute Force,0,1482,0,3,108
DoS/DDoS,0,0,29984,13,0
Normal,131,1,16,29847,4
Web Attack,0,23,3,4,71
