seed,n_rows,macro_f1_rccf,macro_f1_baseline,delta,relative_delta_pct,ci_low,ci_high,ci95_low,ci95_high,n_a_correct_b_wrong,n_a_wrong_b_correct,discordant,mcnemar_p,paired_effect_delta,tost_equivalent_at_0.005,tost_equivalent_at_0.01
42,7986,0.8892836200101021,0.8907734985806057,-0.0014898785705036444,-0.16725672383357573,-0.0038226792252736785,0.0005803514489164103,-0.004292247776667044,0.0008762875016880947,3,6,9,0.5078125,-0.0003756574004507889,True,True
2024,7986,0.8913329243822133,0.8881908899877397,0.0031420343944736917,0.3537566563553769,-0.0003656158237534235,0.006950024361808352,-0.0011674417564339734,0.007635011692079236,10,3,13,0.09228515625,0.000876533934385174,False,True
3407,7986,0.8892485444056542,0.8876463549181455,0.0016021894875086762,0.1804986274805829,-0.00014201037280311957,0.0036051049584439,-0.0005055833819585326,0.003961746732666927,7,3,10,0.34375,0.0005008765339343851,True,True
