,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Normal,Reconnaissance,Shellcode,Worms
Analysis,51,268,98,30,21,173,28,5,3,0
Backdoor,44,206,88,8,39,173,6,9,10,0
DoS,400,1823,624,613,191,180,24,84,143,7
Exploits,430,1859,412,6845,415,351,55,389,365,11
Fuzzers,110,517,181,40,4412,348,221,140,89,4
Generic,6,19,67,402,667,17543,8,41,114,4
Normal,1414,8,49,567,10791,59,23283,430,392,7
Reconnaissance,46,228,25,80,77,2,0,2868,170,0
Shellcode,0,0,0,7,27,0,0,46,298,0
Worms,0,0,0,22,1,0,0,0,6,15
