model,seed,accuracy,accuracy_ci_low,accuracy_ci_high,macro_f1,macro_f1_ci_low,macro_f1_ci_high,test_samples
random_forest_all,42,0.9564356435643564,0.9366336633663367,0.9742574257425742,0.956370169693838,0.9374185691798422,0.9735189283835918,505
random_forest_all,2024,0.9524752475247524,0.9326732673267327,0.9702970297029703,0.9523812208390527,0.9328283944121774,0.9694107918725188,505
random_forest_all,3407,0.9524752475247524,0.9326732673267327,0.9702970297029703,0.9523812208390527,0.933253713491433,0.9701586553664338,505
random_forest_chi2,42,0.9544554455445544,0.9346534653465347,0.9722772277227723,0.9544638234336607,0.9353746012126497,0.971761402006772,505
random_forest_chi2,2024,0.9524752475247524,0.9346534653465347,0.9702970297029703,0.9523979652682307,0.9337699260853405,0.9697471010537683,505
random_forest_chi2,3407,0.9524752475247524,0.9326732673267327,0.9702970297029703,0.9523979652682307,0.9323791128235892,0.9702474603928491,505
weighted_rf_chi2,42,0.9544554455445544,0.9346534653465347,0.9722772277227723,0.9544638234336607,0.9353746012126497,0.971761402006772,505
weighted_rf_chi2,2024,0.9524752475247524,0.9346534653465347,0.9702970297029703,0.9523979652682307,0.9337699260853405,0.9697471010537683,505
weighted_rf_chi2,3407,0.9524752475247524,0.9326732673267327,0.9702970297029703,0.9523979652682307,0.9323791128235892,0.9702474603928491,505
