model,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,train_seconds_mean,train_seconds_std,predict_seconds_mean,predict_seconds_std
decision_tree_all,0.9405940594059404,0.0,0.9416551365035404,0.000201118584873,0.9405940594059404,0.0,0.9408191616086038,6.867453403979254e-05,0.0290652666687189,0.0013927904685016,0.000675899995258,0.0002548466712743
decision_tree_chi2,0.943894389438944,0.0022865357195628,0.944638717114182,0.0019940421202498,0.943894389438944,0.0022865357195628,0.9440499138305668,0.0022094581950782,0.0269708333265346,0.0003818840579932,0.000331600002634,3.751359605051037e-05
svm_all,0.9326732673267328,0.0,0.933612441556367,0.0,0.9326732673267326,0.0,0.9323791432145092,0.0,0.0417041999850577,0.0012935678266202,0.0160971666725041,0.0009154122104055
svm_chi2,0.9326732673267328,0.0,0.933612441556367,0.0,0.9326732673267326,0.0,0.9323791432145092,0.0,0.0368269000027794,0.0016524515049212,0.0165825333388056,0.0019992480550293
random_forest_all,0.9537953795379538,0.0022865357195628,0.9542350534524008,0.0022262343343866,0.9537953795379538,0.0022865357195628,0.9537108704573146,0.0023030206950939,0.5003946000069845,0.0167585238139395,0.0506840666639618,0.0010495136230848
random_forest_chi2,0.9531353135313532,0.0011432678597814,0.9536298430921994,0.0014068598158948,0.9531353135313532,0.0011432678597814,0.9530865846567074,0.0011927237679185,0.516347833336719,0.0356782594491527,0.0479224666778463,0.0069365722877255
weighted_rf_chi2,0.9531353135313532,0.0011432678597814,0.9536298430921994,0.0014068598158948,0.9531353135313532,0.0011432678597814,0.9530865846567074,0.0011927237679185,0.8191800333346085,0.0447632567057641,0.0279146666580345,0.0004479816672144
