split_seed,model,macro_f1,balanced_accuracy,train_seconds
0,equal_rf,0.9605870348992284,0.9603960396039604,0.2085836999976891
0,extra_trees,0.9433596943088798,0.9435643564356436,0.11172050000459421
0,cfrg_forest,0.9605505044567237,0.9603960396039604,0.3746691999986069
1,equal_rf,0.9663097304942753,0.9663366336633663,0.20705589999852236
1,extra_trees,0.9503900183319498,0.9504950495049505,0.11605119999876479
1,cfrg_forest,0.9663190109666658,0.9663366336633663,0.35799240000051213
2,equal_rf,0.9623678713386328,0.9623762376237623,0.19762510000145994
2,extra_trees,0.955293957213691,0.9554455445544555,0.11210359999677166
2,cfrg_forest,0.9603477257914601,0.9603960396039604,0.3679497999983141
3,equal_rf,0.9554243165891952,0.9554455445544555,0.1986620000025141
3,extra_trees,0.9472541622555901,0.9475247524752476,0.1121897999983048
3,cfrg_forest,0.9564629266245301,0.9564356435643564,0.3655157000030158
4,equal_rf,0.9534158732380685,0.9534653465346533,0.201005000002624
4,extra_trees,0.9463588303820165,0.9465346534653465,0.10903710000275169
4,cfrg_forest,0.9553158036820536,0.9554455445544555,0.36483749999752035
5,equal_rf,0.9653356675572244,0.9653465346534652,0.20560590000241064
5,extra_trees,0.9603938822184004,0.9603960396039604,0.12001150000287453
5,cfrg_forest,0.9653356675572244,0.9653465346534652,0.4031625999996322
6,equal_rf,0.9444632592003324,0.9445544554455445,0.22065090000251075
6,extra_trees,0.9433837671422133,0.9435643564356436,0.11145219999889378
6,cfrg_forest,0.9414328524095226,0.9415841584158414,0.3642915999953402
7,equal_rf,0.9603297275294727,0.9603960396039604,0.22906440000224393
7,extra_trees,0.9504472909519652,0.9504950495049505,0.10936290000245208
7,cfrg_forest,0.9593948258618064,0.9594059405940595,0.38586619999841787
8,equal_rf,0.957440671368991,0.9574257425742573,0.20093819999601692
8,extra_trees,0.9542620454353357,0.9544554455445544,0.11265629999979865
8,cfrg_forest,0.9593644541855783,0.9594059405940595,0.37690699999802746
9,equal_rf,0.9465036426750297,0.9465346534653465,0.26050589999795193
9,extra_trees,0.9314624584877669,0.9316831683168317,0.116131899994798
9,cfrg_forest,0.9464888065883091,0.9465346534653465,0.36282679999567335
