,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Normal,Reconnaissance,Shellcode,Worms
Analysis,0.01772525849335303,0.5539143279172821,0.08862629246676514,0.053175775480059084,0.11225997045790251,0.08567208271787297,0.04431314623338257,0.03988183161004431,0.004431314623338257,0.0
Backdoor,0.018867924528301886,0.5334476843910806,0.08061749571183534,0.017152658662092625,0.15608919382504288,0.1097770154373928,0.017152658662092625,0.04974271012006861,0.017152658662092625,0.0
DoS,0.05258009293225727,0.5084372707263389,0.15309366593299095,0.15553925165077037,0.058204940083149914,0.018586451455123502,0.004891171435558816,0.018341892883345562,0.02983614575690878,0.0004891171435558817
Exploits,0.02012217031979878,0.19592166726554078,0.0321595400646784,0.6438196191160618,0.03835788717211642,0.011588214157384117,0.007725476104922745,0.03368666906216313,0.0159899389148401,0.0006288178224937119
Fuzzers,0.00511382382052128,0.12025734081161332,0.02045529528208512,0.04684922467832398,0.6664467172550314,0.019135598812273176,0.05410755526228967,0.009567799406136588,0.05790168261299901,0.0001649620587264929
Generic,0.00031794817444756504,0.00105982724815855,0.0046632398918976204,0.02252132902336919,0.004610248529489693,0.9568120396375391,0.0,0.00015897408722378252,0.00959143659583488,0.0002649568120396375
Normal,0.021405405405405406,0.0006486486486486486,0.0022972972972972973,0.018243243243243244,0.2718648648648649,0.0,0.6782702702702703,0.001,0.006135135135135135,0.00013513513513513514
Reconnaissance,0.007723112128146453,0.07036613272311212,0.008581235697940504,0.05463386727688787,0.016590389016018305,0.0,0.0008581235697940503,0.816933638443936,0.02402745995423341,0.0002860411899313501
Shellcode,0.0,0.0026455026455026454,0.007936507936507936,0.07671957671957672,0.09523809523809523,0.0,0.005291005291005291,0.007936507936507936,0.8042328042328042,0.0
Worms,0.0,0.0,0.022727272727272728,0.45454545454545453,0.022727272727272728,0.0,0.0,0.0,0.0,0.5
