,precision,recall,f1-score,support
Analysis,0.009104704097116844,0.01772525849335303,0.012030075187969926,677.0
Backdoor,0.05212872946697955,0.5334476843910806,0.09497633226446786,583.0
DoS,0.44022503516174405,0.15309366593299095,0.22718199963708946,4089.0
Exploits,0.7565713079277948,0.6438196191160618,0.6956563940791071,11132.0
Fuzzers,0.2673195262356911,0.6664467172550314,0.381582054309327,6062.0
Generic,0.9760527596086275,0.9568120396375391,0.9663366336633663,18871.0
Normal,0.9812707722385142,0.6782702702702703,0.8021094686376349,37000.0
Reconnaissance,0.8247184522090673,0.816933638443936,0.8208075872970254,3496.0
Shellcode,0.20821917808219179,0.8042328042328042,0.3307943416757345,378.0
Worms,0.5116279069767442,0.5,0.5057471264367817,44.0
accuracy,0.7104163630180246,0.7104163630180246,0.7104163630180246,0.7104163630180246
macro avg,0.5027238372004471,0.5770781697773067,0.4837222013188504,82332.0
weighted avg,0.8452342012360531,0.7104163630180246,0.7528091819049844,82332.0
