,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Normal,Reconnaissance,Shellcode,Worms
Analysis,0.09453471196454949,0.34416543574593794,0.30132939438700146,0.050221565731166914,0.1447562776957164,0.0206794682422452,0.03545051698670606,0.004431314623338257,0.004431314623338257,0.0
Backdoor,0.09948542024013722,0.2933104631217839,0.34305317324185247,0.022298456260720412,0.19382504288164665,0.024013722126929673,0.0,0.008576329331046312,0.015437392795883362,0.0
DoS,0.10589386157984837,0.40229885057471265,0.2086084617265835,0.1731474688187821,0.06236243580337491,0.0034238200048911714,0.002690144289557349,0.013206162876008804,0.027879677182685254,0.0004891171435558817
Exploits,0.04132231404958678,0.14849083722601508,0.06485806683435141,0.65900107797341,0.03916636722960833,0.0025152712899748474,0.007096658282429034,0.02335609054976644,0.013564498742364355,0.0006288178224937119
Fuzzers,0.024579346750247442,0.0722533817222039,0.06598482349059716,0.05097327614648631,0.6420323325635104,0.004618937644341801,0.0791817881887166,0.001649620587264929,0.05856153084790498,0.0001649620587264929
Generic,0.00031794817444756504,0.000529913624079275,0.0050341794287531135,0.022574320385777117,0.004398283079857983,0.9571299878119867,0.00015897408722378252,0.00015897408722378252,0.009485453871019024,0.00021196544963171003
Normal,0.01881081081081081,0.0005405405405405405,0.0015405405405405405,0.019513513513513513,0.24491891891891893,2.7027027027027027e-05,0.7080540540540541,0.0007297297297297297,0.00572972972972973,0.00013513513513513514
Reconnaissance,0.013443935926773455,0.05863844393592677,0.013729977116704805,0.07122425629290619,0.016876430205949658,0.0,0.0014302059496567505,0.8034897025171625,0.020881006864988557,0.0002860411899313501
Shellcode,0.0,0.0,0.0026455026455026454,0.09259259259259259,0.09259259259259259,0.0,0.005291005291005291,0.005291005291005291,0.8015873015873016,0.0
Worms,0.0,0.0,0.022727272727272728,0.45454545454545453,0.0,0.0,0.022727272727272728,0.0,0.0,0.5
