model,macro_f1,macro_f1,macro_f1,balanced_accuracy,balanced_accuracy,balanced_accuracy,train_seconds,train_seconds,train_seconds
,mean,std,count,mean,std,count,mean,std,count
cfrg_forest,0.9571012578123874,0.0077982206520427234,10,0.9571287128712871,0.007754722209205912,10,0.34174176000051376,0.007891839620967026,10
equal_rf,0.9572177794890451,0.007388537857329184,10,0.9572277227722772,0.007362029567576839,10,0.18838039000038406,0.0066350223456696075,10
extra_trees,0.9482606106727809,0.008004357260233429,10,0.9484158415841584,0.007954411599864125,10,0.10684100999933435,0.005441224192072211,10
