fold,model,selected_config,k,feature_count,inner_macro_f1,train_seconds,predict_seconds,test_samples,accuracy,balanced_accuracy,macro_f1,log_loss,brier_macro,ece
1,random_forest,rf_chi2_k40_t100,40,40,0.9510930052306383,0.22141949998331256,0.05983310000738129,954,0.9549266247379455,0.9549738219895287,0.9549326461774953,0.14676586119658125,0.014692703599968434,0.023588902839481327
1,extra_trees,et_chi2_k60_t100,60,60,0.9409290683463057,0.12012400000821799,0.055088199995225295,954,0.9465408805031447,0.9465968586387434,0.9463401867407434,0.16672663694743328,0.017297999268190145,0.03552947568894259
1,xgboost,xgb_chi2_k40_t100_d6,40,40,0.954898334253269,0.35519460000796244,0.004970299982232973,954,0.9612159329140462,0.9612510333425185,0.9613517542682875,0.1225571028678346,0.01265041525495016,0.009567942508596643
2,random_forest,rf_chi2_k60_t100,60,60,0.940139817755686,0.24524109999765642,0.060466399998404086,953,0.9559286463798531,0.9559548084871865,0.9558754720336002,0.1434841274167532,0.014404484645748344,0.027911215054436982
2,extra_trees,et_chi2_k40_t100,40,40,0.9351460019191058,0.1243444999854546,0.0576872999954503,953,0.9538300104931794,0.9538715899696886,0.9537551927536153,0.17042983757323713,0.016638687495751377,0.04811470201341772
2,xgboost,xgb_chi2_k60_t100_d6,60,60,0.9538551225906208,0.47124100002110936,0.0043839999998454005,953,0.9727177334732424,0.9727418021493526,0.972701597730601,0.10791497984368624,0.010083127485551627,0.01399856674365388
3,random_forest,rf_chi2_k60_t100,60,60,0.9459912117699089,0.2124177000077907,0.05712159999529831,953,0.944386149003148,0.9442711490768808,0.944241723587863,0.16663955960053758,0.01771808509310209,0.023610748336372268
3,extra_trees,et_chi2_k40_t100,40,40,0.9443528487066857,0.11826240000664257,0.05799289999413304,953,0.9401888772298006,0.9400440892807935,0.9396619065557184,0.19134023447778856,0.019886103027954172,0.03134120247037948
3,xgboost,xgb_chi2_k60_t100_d6,60,60,0.9554292893630102,0.4912428999959957,0.0037065999931655824,953,0.9538300104931794,0.9537227886470102,0.9538393532300429,0.15438033668818898,0.01572810876799897,0.0196681870447676
