seed,mlp_macro_f1,rccf_macro_f1,mlp_balanced_accuracy,rccf_balanced_accuracy,mlp_right_rccf_wrong,mlp_wrong_rccf_right,discordant,mcnemar_p_vs_rccf
42,0.7993191939469283,0.8892836200101021,0.803639264979048,0.9490082969120378,142,142,284,1.0
2024,0.8010301295017971,0.8913329243822133,0.8003046262771931,0.9496360433024961,140,146,286,0.7675530279199939
3407,0.792613964667112,0.8892485444056542,0.7860466139114493,0.9489494143006129,148,169,317,0.2612726775481226
