model,seed,cost_ratio_fn_fp,nec,threshold
extra_trees_chi2,7,5,0.036333333333333336,0.5782
extra_trees_chi2,7,10,0.043,0.5782
extra_trees_chi2,7,50,0.062,0.2434
extra_trees_chi2,7,100,0.062,0.2434
extra_trees_chi2,13,1,0.019333333333333334,0.7172
extra_trees_chi2,13,5,0.035666666666666666,0.6252
extra_trees_chi2,13,10,0.045,0.5282
extra_trees_chi2,13,50,0.06333333333333334,0.2391
extra_trees_chi2,13,100,0.06333333333333334,0.2391
extra_trees_chi2,101,1,0.019666666666666666,0.7673
extra_trees_chi2,101,5,0.037,0.6473
extra_trees_chi2,101,10,0.04466666666666667,0.58
extra_trees_chi2,101,50,0.057666666666666665,0.267
extra_trees_chi2,101,100,0.057666666666666665,0.267
extra_trees_chi2,202,1,0.018333333333333333,0.749
extra_trees_chi2,202,5,0.035666666666666666,0.6101
extra_trees_chi2,202,10,0.04566666666666667,0.5568
extra_trees_chi2,202,50,0.06,0.2718
extra_trees_chi2,202,100,0.06,0.2718
extra_trees_chi2,303,1,0.017,0.7929
extra_trees_chi2,303,5,0.035666666666666666,0.6687
extra_trees_chi2,303,10,0.04566666666666667,0.5868
extra_trees_chi2,303,50,0.054,0.3024
extra_trees_chi2,303,100,0.054,0.3024
extra_trees_chi2,404,1,0.023666666666666666,0.7712
extra_trees_chi2,404,5,0.036,0.5886
extra_trees_chi2,404,10,0.042666666666666665,0.5886
extra_trees_chi2,404,50,0.06266666666666666,0.2592
extra_trees_chi2,404,100,0.06266666666666666,0.2592
extra_trees_chi2,505,1,0.017666666666666667,0.7589
extra_trees_chi2,505,5,0.03133333333333333,0.608
extra_trees_chi2,505,10,0.038,0.608
extra_trees_chi2,505,50,0.06066666666666667,0.2583
extra_trees_chi2,505,100,0.06066666666666667,0.2583
