seed,n_rows,empirical_changed_rows,empirical_changed_rate,provable_by_bound_rows,provable_by_bound_rate,provable_by_actual_rows,provable_by_actual_rate,median_margin,median_delta_bound,median_delta_actual,margin_to_bound_ratio_median,equal_weight_macro_f1,gated_macro_f1,mean_weight_entropy,elapsed_seconds
42,7986,0,0.0,7974,0.9984973703981969,7986,1.0,1.0,0.0002883011250717493,0.0,3468.5955517902703,0.8892836200101021,0.8892836200101021,0.9999657566283294,71.40889349999998
2024,7986,0,0.0,7982,0.9994991234660656,7986,1.0,1.0,0.00020518365372237946,0.0,4873.682585616856,0.8913329243822133,0.8913329243822133,0.9999799161625001,69.90371639999921
3407,7986,0,0.0,7980,0.9992486851990984,7985,0.9998747808665164,1.0,0.00019849596495205568,1.1102230246251565e-16,5037.8857839328775,0.8892485444056542,0.8892485444056542,0.999985351358518,70.18343610000011
