method,seed,metric,low,point,high,n_bootstrap,confidence
all,2024,log_loss,0.10188431911999316,0.13328601726189718,0.1697055915675348,3000,0.95
all,2024,brier_macro,0.009873523629561747,0.013782651623142786,0.01842727849301891,3000,0.95
all,2024,ece,0.01651359126594677,0.026083424855587747,0.04202236452691669,3000,0.95
all,3407,log_loss,0.10059001820197637,0.13462805088064314,0.17014627024604775,3000,0.95
all,3407,brier_macro,0.00967433855136573,0.013880526686006867,0.018284715582910938,3000,0.95
all,3407,ece,0.01841628336244903,0.02593229401471938,0.043194150063087716,3000,0.95
all,42,log_loss,0.10507450994718782,0.1378911416543172,0.1745963180004794,3000,0.95
all,42,brier_macro,0.010030185473106586,0.014212213853689922,0.01886832259761624,3000,0.95
all,42,ece,0.017206046510344776,0.025380248841448547,0.04358371965590768,3000,0.95
anova,2024,log_loss,0.10846198253824302,0.1468794519801031,0.19086994919742484,3000,0.95
anova,2024,brier_macro,0.010218634535341093,0.014487246343309699,0.0194848827242791,3000,0.95
anova,2024,ece,0.017485457149193393,0.02610258982072791,0.0425159766737323,3000,0.95
anova,3407,log_loss,0.10897623292633708,0.15245520251625697,0.1992101781641836,3000,0.95
anova,3407,brier_macro,0.010315949689521419,0.014967273078987375,0.019995582823831775,3000,0.95
anova,3407,ece,0.017330296348563225,0.024801015528041006,0.042719556012348094,3000,0.95
anova,42,log_loss,0.11009666758766433,0.1517619386847233,0.19711250348853282,3000,0.95
anova,42,brier_macro,0.010488058402315556,0.01507759650901921,0.02001245438834059,3000,0.95
anova,42,ece,0.01369804932415694,0.019509029560987535,0.03906737203841624,3000,0.95
chi2,2024,log_loss,0.10228439648086343,0.13508703054491375,0.17363955720147378,3000,0.95
chi2,2024,brier_macro,0.00989280773605285,0.013911779985111944,0.01856463744055218,3000,0.95
chi2,2024,ece,0.019444141412326848,0.02654521772849863,0.04358398535824782,3000,0.95
chi2,3407,log_loss,0.09833845288258612,0.13275744758322774,0.1686406014481183,3000,0.95
chi2,3407,brier_macro,0.009396068459399146,0.013650268831815804,0.01809803851666811,3000,0.95
chi2,3407,ece,0.016860096701206424,0.02371378053457593,0.041067078061133494,3000,0.95
chi2,42,log_loss,0.10274547924928627,0.1353154470085654,0.17247654547774738,3000,0.95
chi2,42,brier_macro,0.01002759710970768,0.014239534369498708,0.018990889031604872,3000,0.95
chi2,42,ece,0.01522862333402523,0.022797836701580337,0.040673394387860315,3000,0.95
mutual_info,2024,log_loss,0.10173878964799031,0.13452679170020632,0.17335481585903645,3000,0.95
mutual_info,2024,brier_macro,0.009954197836941774,0.013929383268451279,0.018634308039171474,3000,0.95
mutual_info,2024,ece,0.016317981546668282,0.026131401950485893,0.042140364871452854,3000,0.95
mutual_info,3407,log_loss,0.10048839888620142,0.13446299760953812,0.1706666910845592,3000,0.95
mutual_info,3407,brier_macro,0.009933970613326296,0.014107218328968824,0.018668677979003144,3000,0.95
mutual_info,3407,ece,0.01658173466518659,0.024032821439815444,0.04202471019255579,3000,0.95
mutual_info,42,log_loss,0.09972361753948945,0.13264829552121116,0.1694002080212707,3000,0.95
mutual_info,42,brier_macro,0.009679311599894325,0.013872336095173025,0.018519950033601306,3000,0.95
mutual_info,42,ece,0.015244062763077154,0.023501252771270246,0.041299295576427655,3000,0.95
