,precision,recall,f1-score,support
Bot,1.0,1.0,1.0,101.0
Brute Force,0.9578947368421052,0.900990099009901,0.9285714285714286,101.0
DoS/DDoS,0.99,0.9801980198019802,0.9850746268656716,101.0
Normal,0.9702970297029703,0.9702970297029703,0.9702970297029703,101.0
Web Attack,0.8888888888888888,0.9504950495049505,0.9186602870813397,101.0
accuracy,0.9603960396039604,0.9603960396039604,0.9603960396039604,0.9603960396039604
macro avg,0.9614161310867928,0.9603960396039604,0.9605206744442821,505.0
weighted avg,0.9614161310867929,0.9603960396039604,0.960520674444282,505.0
