method,seed,class,bin,prob_true,prob_pred
mutual_info,42,Brute Force,0,0.015957446808510637,0.012205568328692391
mutual_info,42,Brute Force,1,0.058823529411764705,0.15292240350669034
mutual_info,42,Brute Force,2,0.2857142857142857,0.26339157570300065
mutual_info,42,Brute Force,3,0.125,0.3570292818437122
mutual_info,42,Brute Force,4,0.0,0.4696763987587541
mutual_info,42,Brute Force,5,1.0,0.5371729024515198
mutual_info,42,Brute Force,6,0.6666666666666666,0.6373956281090574
mutual_info,42,Brute Force,7,0.0,0.7797601917771826
mutual_info,42,Brute Force,8,1.0,0.8609669106590822
mutual_info,42,Brute Force,9,1.0,0.9984094681944038
mutual_info,42,DoS/DDoS,0,0.0,0.0030541110586385463
mutual_info,42,DoS/DDoS,1,0.2857142857142857,0.13427325507748944
mutual_info,42,DoS/DDoS,2,0.0,0.2532679965389169
mutual_info,42,DoS/DDoS,3,1.0,0.40133269309089203
mutual_info,42,DoS/DDoS,4,0.0,0.5450355895228036
mutual_info,42,DoS/DDoS,5,1.0,0.6008728255803886
mutual_info,42,DoS/DDoS,6,1.0,0.7084122844158762
mutual_info,42,DoS/DDoS,7,1.0,0.8631154095643
mutual_info,42,DoS/DDoS,8,1.0,0.9930098272062168
mutual_info,42,Normal,0,0.0,0.008381620074017646
mutual_info,42,Normal,1,0.0,0.14585763705766697
mutual_info,42,Normal,2,0.1,0.2652430481999785
mutual_info,42,Normal,3,0.5,0.35163211535638017
mutual_info,42,Normal,4,0.6666666666666666,0.4314575075244111
mutual_info,42,Normal,5,0.6666666666666666,0.5648182978567836
mutual_info,42,Normal,6,1.0,0.6320540463930853
mutual_info,42,Normal,7,0.8333333333333334,0.7389534649691182
mutual_info,42,Normal,8,1.0,0.8501580991076922
mutual_info,42,Normal,9,1.0,0.9799043014083577
mutual_info,42,Web Attack,0,0.0,0.004345634487768836
mutual_info,42,Web Attack,1,0.0,0.13903923087562017
mutual_info,42,Web Attack,2,0.5,0.24352127035058715
mutual_info,42,Web Attack,3,0.6666666666666666,0.33702723651504923
mutual_info,42,Web Attack,4,0.6666666666666666,0.4429540645214616
mutual_info,42,Web Attack,5,0.6666666666666666,0.5501089420097389
mutual_info,42,Web Attack,6,0.8571428571428571,0.6429533942611968
mutual_info,42,Web Attack,7,1.0,0.760246343370923
mutual_info,42,Web Attack,8,0.8333333333333334,0.8568488597361862
mutual_info,42,Web Attack,9,0.9411764705882353,0.9570549283349683
anova,42,Bot,0,0.0,0.0014914392546034648
anova,42,Bot,1,0.0,0.14932993172473866
anova,42,Bot,2,0.0,0.2785311949168154
anova,42,Bot,3,0.0,0.3700437447791819
anova,42,Bot,4,1.0,0.619093638884609
anova,42,Bot,5,1.0,0.7525237627793467
anova,42,Bot,6,1.0,0.8305121899272546
anova,42,Bot,7,1.0,0.9862008256659506
anova,42,Brute Force,0,0.013404825737265416,0.010892652471395176
anova,42,Brute Force,1,0.10526315789473684,0.13562617585254208
anova,42,Brute Force,2,0.3,0.23343680275982734
anova,42,Brute Force,3,0.0,0.36767806583303014
anova,42,Brute Force,4,1.0,0.4707377394756929
anova,42,Brute Force,5,0.3333333333333333,0.5661899623961085
anova,42,Brute Force,6,0.0,0.7810936388902359
anova,42,Brute Force,7,1.0,0.875868614359668
anova,42,Brute Force,8,1.0,0.9986920952200251
anova,42,DoS/DDoS,0,0.0,0.003519814423450535
anova,42,DoS/DDoS,1,0.25,0.1337951787053721
anova,42,DoS/DDoS,2,0.3333333333333333,0.24527636412603904
anova,42,DoS/DDoS,3,0.0,0.3707408298314997
anova,42,DoS/DDoS,4,0.5,0.4651928437188722
anova,42,DoS/DDoS,5,0.0,0.5929322614049536
anova,42,DoS/DDoS,6,1.0,0.6745093142674304
anova,42,DoS/DDoS,7,1.0,0.847781464363773
anova,42,DoS/DDoS,8,1.0,0.9908616108160327
anova,42,Normal,0,0.005305039787798408,0.009015109271274973
anova,42,Normal,1,0.0,0.1342660078452879
anova,42,Normal,2,0.0,0.23765265489140525
anova,42,Normal,3,0.5,0.3658485387335675
anova,42,Normal,4,0.0,0.4543968799163395
anova,42,Normal,5,0.8333333333333334,0.5618956119248388
anova,42,Normal,6,1.0,0.649898762905862
anova,42,Normal,7,0.8333333333333334,0.7509959190190584
anova,42,Normal,8,1.0,0.8489646164110088
anova,42,Normal,9,1.0,0.9839914902451317
anova,42,Web Attack,0,0.0,0.004194984049340692
anova,42,Web Attack,1,0.16666666666666666,0.14382958711983235
anova,42,Web Attack,2,0.25,0.25636296733122266
anova,42,Web Attack,3,0.5,0.3861367368673394
anova,42,Web Attack,4,1.0,0.4399958749339829
anova,42,Web Attack,5,0.6666666666666666,0.5596589033263789
anova,42,Web Attack,6,0.7142857142857143,0.6352911644201716
anova,42,Web Attack,7,1.0,0.7683423002253806
anova,42,Web Attack,8,0.85,0.8636551619376176
anova,42,Web Attack,9,0.9253731343283582,0.9608229542751405
all,2024,Bot,0,0.0,0.0015325781784730548
all,2024,Bot,1,0.0,0.1256183571443767
all,2024,Bot,2,0.0,0.27123202740739627
all,2024,Bot,3,0.0,0.33597345574523513
all,2024,Bot,4,1.0,0.5464436381171638
all,2024,Bot,5,1.0,0.7201921477905064
all,2024,Bot,6,1.0,0.8695539710436663
all,2024,Bot,7,1.0,0.9859381818645834
all,2024,Brute Force,0,0.016,0.013538950163509703
all,2024,Brute Force,1,0.047619047619047616,0.14098610726716315
all,2024,Brute Force,2,0.2,0.26246135756613426
all,2024,Brute Force,3,0.2222222222222222,0.34995172790715995
all,2024,Brute Force,4,0.3333333333333333,0.4618107222297419
all,2024,Brute Force,5,1.0,0.5429874895178874
all,2024,Brute Force,6,0.0,0.63844347974274
all,2024,Brute Force,7,0.5,0.7511377067530784
all,2024,Brute Force,8,1.0,0.897868558491354
all,2024,Brute Force,9,1.0,0.9977291475645842
all,2024,DoS/DDoS,0,0.002544529262086514,0.0033337682372300273
all,2024,DoS/DDoS,1,0.125,0.13393418788928235
all,2024,DoS/DDoS,2,0.0,0.23780285446208668
all,2024,DoS/DDoS,3,1.0,0.4263029953415358
all,2024,DoS/DDoS,4,0.0,0.522546942364309
all,2024,DoS/DDoS,5,0.6666666666666666,0.6383423643603198
all,2024,DoS/DDoS,6,1.0,0.8720597295611149
all,2024,DoS/DDoS,7,1.0,0.990971391480289
all,2024,Normal,0,0.0,0.009123482742414634
all,2024,Normal,1,0.0,0.14017576511285015
all,2024,Normal,2,0.23076923076923078,0.26548777455216926
all,2024,Normal,3,0.3333333333333333,0.35141225315032654
all,2024,Normal,4,0.0,0.4761671883064178
all,2024,Normal,5,0.6666666666666666,0.5330173262196768
all,2024,Normal,6,1.0,0.6474853341538499
all,2024,Normal,7,0.8571428571428571,0.7597227766304627
all,2024,Normal,8,1.0,0.8620020611698453
all,2024,Normal,9,1.0,0.9833481394576987
all,2024,Web Attack,0,0.0,0.004646366319268231
all,2024,Web Attack,1,0.0,0.14404611426975933
all,2024,Web Attack,2,0.25,0.2801391048200943
all,2024,Web Attack,3,0.6666666666666666,0.3692876412287278
