seed,estimate,ci_low,ci_high,p_value,mcnemar_p,mcnemar_equal_only,mcnemar_drc_only
42,-0.018973367353768533,-0.02684211089778964,-0.011543810162801168,0.0,6.417967005513454e-14,69,7
2024,-0.01986145339345835,-0.02772596758138051,-0.012237036555599184,0.0,5.375095844566712e-14,72,8
3407,-0.01185260385325737,-0.01980818024232083,-0.004218625860440304,0.0,6.108279451688681e-09,54,9
