Unnamed: 0,precision,recall,f1-score,support
DoS,0.9636921090850412,0.8007508715473317,0.874697912852435,7458.0
Normal,0.6898555042454938,0.9537637730408814,0.8006223797380818,9711.0
Probe,0.7802829354553492,0.7290375877736472,0.7537903053598121,2421.0
R2L,0.9649122807017544,0.1997095134350036,0.3309265944645006,2754.0
U2R,0.3820224719101123,0.17,0.2352941176470588,200.0
accuracy,0.7799414478353442,0.7799414478353442,0.7799414478353442,0.7799414478353442
macro avg,0.7561530602795502,0.5706523491593728,0.5990662620123777,22544.0
weighted avg,0.8210273444577841,0.7799414478353442,0.7577048419823779,22544.0
