dataset,source,local_path,raw_file_count,raw_rows,task_labels,split_protocol,checksum_note
CIC-IDS2017,用户下载并解压的 MachineLearningCSV,data/raw/MachineLearningCVE,8,2830743,Normal; DoS/DDoS; Brute Force; Web Attack; Bot,"dedup-balanced frame, stratified 70/15/15",MachineLearningCSV.zip MD5=4f83860afbf29cac8163854095bf6cf7; SHA-256=c3f26274b36c837ccf28ffd2dbf4582941c30b3ee70a635c6e5b2f87c4727928
NSL-KDD,defcom17/NSL_KDD 公共仓库 KDDTrain+、KDDTest+,data/external/NSL-KDD,2,official train/test split,Normal; DoS; Probe; R2L; U2R,official KDDTrain+/KDDTest+,KDDTest+.txt: MD5=7c6d1b1af246690766394920d6b4c751; SHA-256=fa46b0935342616aa83b7c2578db355b6a7aaabbc492248172c7a1e8b7ab8f84; KDDTrain+.txt: MD5=f5592a95d1d1428348dfa6ca9652a800; SHA-256=1b86d2f957b33082081bba410fe129b475efebcc13c9014c3f447c8271aadf95
