model,accuracy,macro_f1,train_seconds,predict_seconds,feature_mode,k,max_depth,C,n_estimators,min_samples_leaf
tuned_decision_tree,0.9524752475247524,0.9525665774074704,0.0231946999847423,0.0002979999990202,chi2,60,10.0,,,
tuned_svm,0.9346534653465348,0.9343796304491964,0.0354909999878145,0.0132622999954037,all,78,,100.0,,
tuned_random_forest,0.9603960396039604,0.9605030012596144,0.1898721000179648,0.0266671999997925,chi2,60,,,100.0,2.0
tuned_extra_trees,0.9465346534653464,0.9466877876001468,0.3058360999857541,0.0495431000017561,all,78,,,300.0,1.0
