class,model,test_support_total,precision,recall,f1-score,support,predicted_as_normal_rate
R2L,rf_all,2754,0.9773584905660376,0.0940450254175744,0.1715799933752898,2754.0,0.9019607843137256
U2R,rf_all,200,0.4705882352941176,0.04,0.0737327188940092,200.0,0.925
R2L,rf_chi2,2754,0.9751861042183624,0.1427015250544662,0.2489705416534685,2754.0,0.8529411764705882
U2R,rf_chi2,200,0.4,0.04,0.0727272727272727,200.0,0.93
R2L,extra_trees_chi2,2754,0.9649122807017544,0.1997095134350036,0.3309265944645006,2754.0,0.7824981844589688
U2R,extra_trees_chi2,200,0.3820224719101123,0.17,0.2352941176470588,200.0,0.725
R2L,decision_tree_chi2,2754,0.5835866261398176,0.2091503267973856,0.3079390537289495,2754.0,0.770878721859114
U2R,decision_tree_chi2,200,0.2272727272727272,0.1,0.1388888888888889,200.0,0.825
