accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,log_loss,brier_macro,ece,mce,model,seed,train_seconds,predict_seconds,test_samples,feature_count
0.9603960396039604,0.9603960396039604,0.9616382766131386,0.9603960396039604,0.9605030012596144,0.13185090535976293,0.013795592177752128,0.02624387341869404,0.3905902091419294,equal_rf_chi2,42,0.21629460000258405,0.028049300002749078,505,60
0.9564356435643564,0.9564356435643564,0.9572678527075531,0.9564356435643564,0.9565254052877815,0.13789114165431718,0.014212213853689926,0.025380248841448513,0.19231600469260135,equal_rf_all,42,0.21512880000227597,0.02846980000322219,505,78
0.9465346534653465,0.9465346534653465,0.9484795482892198,0.9465346534653465,0.9463054609104635,0.15246402016446953,0.015374037507196483,0.04341289871045166,0.35619012874456785,extra_trees_chi2,42,0.13128750000032596,0.029567199999291915,505,60
0.9247524752475248,0.9247524752475247,0.9265226869000454,0.9247524752475247,0.924020713699754,0.2566762704763448,0.024593238547615776,0.04184563740041528,0.3634021430311436,svm_chi2,42,0.14908719999948516,0.012922099995194003,505,60
0.9346534653465347,0.9346534653465346,0.9368595534514246,0.9346534653465346,0.9346943656916464,1.5248205972296243,0.01988998899889989,0.046864686468646846,0.38095238095238093,decision_tree_chi2,42,0.024375699998927303,0.0005355000030249357,505,60
0.9603960396039604,0.9603960396039604,0.9616382766131386,0.9603960396039604,0.9605030012596144,0.13170408622753388,0.013779527595338537,0.02618178776087638,0.3895252229183319,scalar_weighted_rf_chi2,42,0.3391380999964895,0.012190299996291287,505,60
0.9603960396039604,0.9603960396039604,0.9616382766131386,0.9603960396039604,0.9605030012596144,0.13154865368850127,0.013761604653113286,0.026120357677540618,0.38884175544424415,reliability_only_rf_chi2,42,0.4619440999958897,0.012467000000469852,505,60
0.9603960396039604,0.9603960396039604,0.9616382766131386,0.9603960396039604,0.9605030012596144,0.13185090535976293,0.013795592177752124,0.026243873418694035,0.39059020914192943,cost_only_rf_chi2,42,0.47312439999950584,0.01303659999393858,505,60
0.9603960396039604,0.9603960396039604,0.9616382766131386,0.9603960396039604,0.9605030012596144,0.13154865368850127,0.013761604653113286,0.026120357677540618,0.38884175544424415,drc_forest_chi2,42,0.4668498000028194,0.013299099999130704,505,60
0.9603960396039604,0.9603960396039604,0.9616382766131386,0.9603960396039604,0.9605030012596144,0.1351887494761777,0.01399414427903142,0.02525827108822859,0.2583154513507662,equal_rf_chi2,2024,0.21385419999569422,0.030019899997569155,505,60
