model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,log_loss_mean,log_loss_std,brier_macro_mean,brier_macro_std,ece_mean,ece_std,mce_mean,mce_std,train_seconds_mean,train_seconds_std,predict_seconds_mean,predict_seconds_std
cost_only_rf_chi2,0.9597359735973597,0.0011432678597814543,0.9597359735973597,0.0011432678597814543,0.960890960777624,0.001294388996412138,0.9597359735973597,0.0011432678597814543,0.9598422584936085,0.001144440041455843,0.13328102359256633,0.0017194134573900008,0.013816859389217305,0.00016766595122042272,0.02624373325994211,0.000985392099813452,0.42179327659047255,0.1811067098994348,0.491982700000032,0.03463989300342716,0.01325636666539746,0.0006371403675277959
decision_tree_chi2,0.9346534653465347,0.0,0.9346534653465346,0.0,0.9368464895600015,2.2627323689453207e-05,0.9346534653465346,0.0,0.9346945147052729,2.5809917181867664e-07,1.5478866309592936,0.040648857612110595,0.020058672533920057,0.00037100520337195864,0.04741474147414739,0.0005041337398191169,0.42063492063492064,0.06873217490352689,0.02440309999898697,0.0002362944775803341,0.00038983333312595886,0.0001268502030896363
drc_forest_chi2,0.9597359735973597,0.0011432678597814543,0.9597359735973597,0.0011432678597814543,0.960890960777624,0.001294388996412138,0.9597359735973597,0.0011432678597814543,0.9598422584936085,0.001144440041455843,0.1330010816611383,0.0017362479760320286,0.01378274055279804,0.00016595647232192081,0.02614210402680353,0.000987728542763992,0.420394527816147,0.18082046729578846,0.4786079333352973,0.02814402575884669,0.01352490000135731,0.00047912210257039327
equal_rf_all,0.9577557755775578,0.0022865357195628842,0.9577557755775578,0.0022865357195628842,0.9587246606760816,0.0025232654183625766,0.9577557755775578,0.0022865357195628842,0.9578512706117258,0.0022964661050652916,0.13526840326561915,0.002368402636825904,0.01395846405427986,0.0002251368528432158,0.02579865590391851,0.00037014657260194835,0.2576775914745406,0.10636210171231046,0.23545416666699262,0.026503826637912252,0.02793550000205869,0.000721550892320991
equal_rf_chi2,0.9597359735973597,0.0011432678597814543,0.9597359735973597,0.0011432678597814543,0.960890960777624,0.001294388996412138,0.9597359735973597,0.0011432678597814543,0.9598422584936085,0.001144440041455843,0.13328102359256636,0.001719413457390021,0.013816859389217307,0.00016766595122042345,0.026243733259942118,0.0009853920998134555,0.42179327659047255,0.18110670989943475,0.2155031333337926,0.0014283994067263626,0.028810200000104185,0.0010591893905105845
extra_trees_chi2,0.9491749174917491,0.0030248024389147453,0.9491749174917491,0.0030248024389147453,0.9512118657681187,0.003090528385234906,0.9491749174917491,0.0030248024389147453,0.9489758782326333,0.0030533851449315724,0.15041928210443611,0.001980113705552024,0.015131500239934816,0.0002301583623945397,0.038412826416181524,0.004338935616886062,0.36002711207610155,0.017215831949974274,0.1356306333351919,0.022129289161790466,0.028576333332845632,0.0008847858065193796
reliability_only_rf_chi2,0.9597359735973597,0.0011432678597814543,0.9597359735973597,0.0011432678597814543,0.960890960777624,0.001294388996412138,0.9597359735973597,0.0011432678597814543,0.9598422584936085,0.001144440041455843,0.1330010816611383,0.0017362479760320286,0.01378274055279804,0.00016595647232192081,0.02614210402680353,0.000987728542763992,0.420394527816147,0.18082046729578846,0.4711050333329088,0.015789669659058224,0.013358233331625039,0.0007725552020284341
scalar_weighted_rf_chi2,0.9597359735973597,0.0011432678597814543,0.9597359735973597,0.0011432678597814543,0.960890960777624,0.001294388996412138,0.9597359735973597,0.0011432678597814543,0.9598422584936085,0.001144440041455843,0.13315009640297196,0.0017264047939244006,0.013801639500664218,0.00016637850952419057,0.026200216088780554,0.0009957461773454235,0.4210655363944227,0.18098703498808266,0.3466014666652579,0.011859703066228135,0.013451133333243584,0.0011327344567960045
svm_chi2,0.9267326732673268,0.001980198019801982,0.9267326732673267,0.001980198019801982,0.9284508299469002,0.002001430629971978,0.9267326732673267,0.001980198019801982,0.9261122975771116,0.0021121294792674186,0.2558639830879397,0.0009490557612573879,0.024497847019477336,0.00010944399927640479,0.04329686712916248,0.0031463020896075576,0.3565588380447911,0.1537079822465156,0.14954389999911655,0.0014730411634257627,0.012929366663835632,0.0003159626742319158
