,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,101,0,0,0,0
Brute Force,0,93,0,0,8
DoS/DDoS,0,0,99,1,1
Normal,1,2,1,97,0
Web Attack,0,18,1,0,82
