,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,101,0,0,0,0
Brute Force,0,89,0,3,9
DoS/DDoS,0,0,99,1,1
Normal,5,2,7,85,2
Web Attack,0,0,4,3,94
