model,macro_f1,macro_f1,macro_f1,balanced_accuracy,balanced_accuracy,balanced_accuracy,train_seconds,train_seconds,train_seconds
,mean,std,count,mean,std,count,mean,std,count
cfrg_forest,0.9571012578123874,0.0077982206520427234,10,0.9571287128712871,0.007754722209205912,10,0.42758730999994443,0.024789751938399107,10
equal_rf,0.9572177794890451,0.007388537857329184,10,0.9572277227722772,0.007362029567576839,10,0.2495587700002943,0.011035011073758884,10
extra_trees,0.9482606106727809,0.008004357260233429,10,0.9484158415841584,0.007954411599864125,10,0.13927596999928937,0.013890162249279777,10
