split_seed,model,macro_f1,balanced_accuracy,train_seconds
0,equal_rf,0.9605870348992284,0.9603960396039604,0.2503260000012233
0,extra_trees,0.9433596943088798,0.9435643564356436,0.14284659999975702
0,cfrg_forest,0.9605505044567237,0.9603960396039604,0.425913799997943
1,equal_rf,0.9663097304942753,0.9663366336633663,0.238358699993114
1,extra_trees,0.9503900183319498,0.9504950495049505,0.1351760999968974
1,cfrg_forest,0.9663190109666658,0.9663366336633663,0.46966669999528676
2,equal_rf,0.9623678713386328,0.9623762376237623,0.25260849999904167
2,extra_trees,0.955293957213691,0.9554455445544555,0.1304835999981151
2,cfrg_forest,0.9603477257914601,0.9603960396039604,0.42817160000413423
3,equal_rf,0.9554243165891952,0.9554455445544555,0.2704204999972717
3,extra_trees,0.9472541622555901,0.9475247524752476,0.13228890000027604
3,cfrg_forest,0.9564629266245301,0.9564356435643564,0.42921429999842076
4,equal_rf,0.9534158732380685,0.9534653465346533,0.2564205000016955
4,extra_trees,0.9463588303820165,0.9465346534653465,0.14027050000004238
4,cfrg_forest,0.9553158036820536,0.9554455445544555,0.45421190000342904
5,equal_rf,0.9653356675572244,0.9653465346534652,0.2596921000003931
5,extra_trees,0.9603938822184004,0.9603960396039604,0.17621589999907883
5,cfrg_forest,0.9653356675572244,0.9653465346534652,0.42730650000157766
6,equal_rf,0.9444632592003324,0.9445544554455445,0.24127460000454448
6,extra_trees,0.9433837671422133,0.9435643564356436,0.140963500001817
6,cfrg_forest,0.9414328524095226,0.9415841584158414,0.4262516000017058
7,equal_rf,0.9603297275294727,0.9603960396039604,0.2406979000006686
7,extra_trees,0.9504472909519652,0.9504950495049505,0.13214220000372734
7,cfrg_forest,0.9593948258618064,0.9594059405940595,0.43686539999907836
8,equal_rf,0.957440671368991,0.9574257425742573,0.2512510000015027
8,extra_trees,0.9542620454353357,0.9544554455445544,0.12727649999578716
8,cfrg_forest,0.9593644541855783,0.9594059405940595,0.38960840000072494
9,equal_rf,0.9465036426750297,0.9465346534653465,0.23453790000348818
9,extra_trees,0.9314624584877669,0.9316831683168317,0.13509589999739546
9,cfrg_forest,0.9464888065883091,0.9465346534653465,0.38866289999714354
