file,metric,best_conditional,conditional_model,best_equal_weight,equal_model,delta
results_cic_balanced_baselines_v3b\metrics_3seeds.csv,macro_f1,0.96321,cfrg_forest_chi2,0.96321,cfrg_forest_chi2,0.0
results_cic_balanced_baselines_v3b\metrics_aggregate_flat.csv,macro_f1_mean,0.96321,cfrg_forest_chi2,0.96321,cfrg_forest_chi2,0.0
results_cic_natural_baselines_v1\metrics_aggregate_flat.csv,macro_f1_mean,0.89025,weighted_rf_all,0.89025,weighted_rf_all,0.0
results_cic_natural_baselines_v1\metrics_summary.csv,macro_f1,0.89025,weighted_rf_all,0.89025,weighted_rf_all,0.0
results_cic_natural_baselines_v2\metrics_aggregate_flat.csv,macro_f1_mean,0.89025,weighted_rf_all,0.89025,weighted_rf_all,0.0
results_cic_natural_baselines_v2\metrics_summary.csv,macro_f1,0.89025,weighted_rf_all,0.89025,weighted_rf_all,0.0
results_cic_natural_baselines_v3\metrics_3seeds.csv,macro_f1,0.88836,cfrg_forest_chi2,0.88887,equal_rf_chi2,-0.00051
results_cic_natural_baselines_v3\metrics_aggregate_flat.csv,macro_f1_mean,0.88836,cfrg_forest_chi2,0.88887,equal_rf_chi2,-0.00051
results_cic_natural_baselines_v3b\metrics_3seeds.csv,macro_f1,0.88836,cfrg_forest_chi2,0.88887,equal_rf_chi2,-0.00051
results_cic_natural_baselines_v3b\metrics_aggregate_flat.csv,macro_f1_mean,0.88836,cfrg_forest_chi2,0.88887,equal_rf_chi2,-0.00051
results_deployment_robustness\robustness_metrics.csv,macro_f1,0.71107,weighted_rf_chi2,0.71795,rf_chi2,-0.00688
results_deployment_robustness_final\robustness_metrics.csv,macro_f1,0.76729,weighted_rf_chi2,0.85454,extra_trees_chi2,-0.08725
results_drc_cic_v1\metrics_3seeds.csv,macro_f1,0.95984,drc_forest_chi2,0.95984,cost_only_rf_chi2,0.0
results_drc_cic_v1\metrics_aggregate_flat.csv,macro_f1_mean,0.95984,drc_forest_chi2,0.95984,cost_only_rf_chi2,0.0
results_drc_imbalanced_v1\metrics_3seeds.csv,macro_f1,0.89315,scalar_weighted_rf_chi2,0.89335,reliability_only_rf_chi2,-0.00019
results_drc_imbalanced_v1\metrics_aggregate_flat.csv,macro_f1_mean,0.89315,scalar_weighted_rf_chi2,0.89335,reliability_only_rf_chi2,-0.00019
results_drc_nsl_kdd_v1\metrics.csv,macro_f1,0.53796,drc_forest_chi2,0.60311,extra_trees_chi2,-0.06515
results_drc_nsl_kdd_v2\metrics.csv,macro_f1,0.53812,drc_forest_chi2,0.60445,extra_trees_chi2,-0.06632
results_drc_unsw_v1\metrics.csv,macro_f1,0.49936,drc_forest_chi2,0.49936,drc_forest_chi2,0.0
results_fair_final_checked\metrics_aggregate_flat.csv,macro_f1_mean,0.95309,weighted_rf_chi2,0.95309,random_forest_chi2,0.0
results_fair_final_checked\metrics_summary.csv,macro_f1,0.95309,weighted_rf_chi2,0.95309,random_forest_chi2,0.0
results_fair_final_checked2\metrics_aggregate_flat.csv,macro_f1_mean,0.95446,weighted_rf_chi2,0.95446,random_forest_chi2,0.0
results_fair_final_checked2\metrics_summary.csv,macro_f1,0.95446,weighted_rf_chi2,0.95446,random_forest_chi2,0.0
results_imbalanced_sensitivity\metrics_aggregate_flat.csv,macro_f1_mean,0.8876,weighted_rf_chi2,0.8876,weighted_rf_chi2,0.0
results_imbalanced_sensitivity\metrics_summary.csv,macro_f1,0.8876,weighted_rf_chi2,0.8876,weighted_rf_chi2,0.0
results_imbalanced_v3\metrics_3seeds.csv,macro_f1,0.89315,weighted_rf_chi2,0.89315,weighted_rf_chi2,0.0
results_journal_full\metrics_aggregate_flat.csv,macro_f1_mean,0.95309,weighted_rf_chi2,0.95309,random_forest_chi2,0.0
results_journal_full\metrics_summary.csv,macro_f1,0.95309,weighted_rf_chi2,0.95309,random_forest_chi2,0.0
results_leakage_safe_checked\final_test_metrics.csv,macro_f1,0.9504,weighted_rf_chi2,0.9504,random_forest_chi2,0.0
results_leakage_safe_checked\final_test_metrics_aggregate_flat.csv,macro_f1_mean,0.9504,weighted_rf_chi2,0.9504,random_forest_chi2,0.0
results_leakage_safe_checked3\final_test_metrics.csv,macro_f1,0.95309,weighted_rf_chi2,0.95309,random_forest_chi2,0.0
results_leakage_safe_checked3\final_test_metrics_aggregate_flat.csv,macro_f1_mean,0.95309,weighted_rf_chi2,0.95309,random_forest_chi2,0.0
results_nsl_kdd_full\metrics.csv,macro_f1,0.48824,weighted_rf_chi2,0.52023,extra_trees_chi2,-0.03199
results_nsl_kdd_full_v2\metrics.csv,macro_f1,0.48824,weighted_rf_chi2,0.52023,extra_trees_chi2,-0.03199
results_paper_materials\tables\table_ablation.csv,macro_f1_mean,0.95309,weighted_rf_chi2,0.95309,random_forest_chi2,0.0
results_paper_materials\tables\table_bootstrap_confidence_intervals.csv,macro_f1,0.95309,weighted_rf_chi2,0.95309,random_forest_chi2,0.0
results_paper_materials\tables\table_class_metrics_by_model.csv,f1-score,0.95446,weighted_rf_chi2_seed42,0.95446,random_forest_chi2_seed42,0.0
results_paper_materials\tables\table_class_metrics_key_models.csv,f1-score,0.95446,weighted_rf_chi2_seed42,0.95446,random_forest_chi2_seed42,0.0
results_paper_materials\tables\table_model_comparison.csv,macro_f1_mean,0.95309,weighted_rf_chi2,0.95309,random_forest_chi2,0.0
results_paper_materials_v2\tables\table_unified_imbalanced_sensitivity.csv,macro_f1,0.89315,weighted_rf_chi2,0.89315,weighted_rf_chi2,0.0
results_paper_materials_v2\tables\table_v2_bootstrap_ci.csv,macro_f1,0.95786,weighted_rf_chi2,0.95786,random_forest_chi2,0.0
results_paper_materials_v2\tables\table_v2_robustness.csv,macro_f1,0.79297,weighted_rf_chi2,0.91331,extra_trees_chi2,-0.12034
results_publication_final\bootstrap_confidence_intervals.csv,macro_f1,0.95786,weighted_rf_chi2,0.95786,random_forest_chi2,0.0
results_publication_final\metrics_3seeds.csv,macro_f1,0.95786,weighted_rf_chi2,0.95786,random_forest_chi2,0.0
results_publication_final\deployment\robustness_metrics.csv,macro_f1,0.79297,weighted_rf_chi2,0.91331,extra_trees_chi2,-0.12034
results_publication_final\supplementary\S15_temperature_calibration.csv,macro_f1,0.96182,cfrg_forest,0.95984,equal_rf,0.00198
results_publication_stage2\bootstrap_confidence_intervals.csv,macro_f1,0.95984,weighted_rf_chi2,0.95984,random_forest_chi2,0.0
results_publication_stage2\metrics_3seeds.csv,macro_f1,0.95984,weighted_rf_chi2,0.95984,random_forest_chi2,0.0
results_publication_stage2\deployment\robustness_metrics.csv,macro_f1,0.8048,weighted_rf_chi2,0.9173,extra_trees_chi2,-0.1125
results_quality_upgrades\repeated_split_metrics.csv,macro_f1,0.95568,weighted_rf_chi2,0.95568,rf_chi2,0.0
results_rccf_evidence_v1\model_metrics.csv,macro_f1,0.9605,rccf,0.95984,equal_rf_chi2,0.00066
results_rccf_evidence_v1\robustness_shared.csv,macro_f1,0.83531,rccf,0.93805,extra_trees_chi2,-0.10274
results_rccf_evidence_v3b\model_metrics.csv,macro_f1,0.88996,rccf,0.88887,equal_rf_chi2,0.00108
results_rccf_evidence_v3b\robustness_shared.csv,macro_f1,0.69178,rccf,0.80057,extra_trees_chi2,-0.10879
results_recheck_unified_v4\bootstrap_confidence_intervals.csv,macro_f1,0.95984,weighted_rf_chi2,0.95984,random_forest_chi2,0.0
results_recheck_unified_v4\metrics_3seeds.csv,macro_f1,0.95984,weighted_rf_chi2,0.95984,random_forest_chi2,0.0
results_recheck_unified_v4\deployment\robustness_metrics.csv,macro_f1,0.8048,weighted_rf_chi2,0.9173,extra_trees_chi2,-0.1125
results_unified_final\bootstrap_confidence_intervals.csv,macro_f1,0.95984,weighted_rf_chi2,0.95984,random_forest_chi2,0.0
results_unified_final\metrics_3seeds.csv,macro_f1,0.95984,weighted_rf_chi2,0.95984,random_forest_chi2,0.0
results_unified_final\deployment\robustness_metrics.csv,macro_f1,0.8048,weighted_rf_chi2,0.9173,extra_trees_chi2,-0.1125
results_unified_imbalanced\metrics_3seeds.csv,macro_f1,0.89315,weighted_rf_chi2,0.89315,weighted_rf_chi2,0.0
results_v2_extended\bootstrap_confidence_intervals.csv,macro_f1,0.95646,weighted_rf_chi2,0.95646,weighted_rf_chi2,0.0
results_v2_extended\metrics_3seeds.csv,macro_f1,0.95646,weighted_rf_chi2,0.95646,weighted_rf_chi2,0.0
results_v2_extended\deployment\robustness_metrics.csv,macro_f1,0.78053,weighted_rf_chi2,0.78813,rf_all,-0.0076
