model,seed,threshold,known_macro_f1,unknown_recall,known_false_rejection_rate,auroc,aupr,known_validation_samples,unknown_samples
equal_rf,42,0.7588027247734028,0.9452950287400835,0.7992183683439179,0.049,0.9601162677088422,0.9495910409615894,1000,2047
cfrg_forest,42,0.9516301064336811,0.925580087830655,0.004396678065461651,0.048,0.6574235466536394,0.6901681595954667,1000,2047
