,precision,recall,f1-score,support
Analysis,0.008962868117797696,0.0310192023633678,0.01390728476821192,677.0
Backdoor,0.055517941773865945,0.7032590051457976,0.10291164658634538,583.0
DoS,0.32490272373540857,0.12252384446074835,0.17794352690463505,4089.0
Exploits,0.8149745197961583,0.5602766798418972,0.6640404578120841,11132.0
Fuzzers,0.25475781111045237,0.70884196634774,0.37480919359762743,6062.0
Generic,0.9997248059882217,0.9625351067775952,0.9807775377969763,18871.0
Normal,0.9945262965834968,0.5892702702702702,0.7400505744785567,37000.0
Reconnaissance,0.6838252656434475,0.8283752860411899,0.7491915664209029,3496.0
Shellcode,0.16448032290615539,0.8624338624338624,0.27627118644067794,378.0
Worms,0.10300429184549356,0.5454545454545454,0.17328519855595667,44.0
accuracy,0.6641281640188506,0.6641281640188506,0.6641281640188506,0.6641281640188506
macro avg,0.44046768475004977,0.5913989769137015,0.4253188173361974,82332.0
weighted avg,0.8514822782323849,0.6641281640188506,0.7176136672995405,82332.0
