fold,seed,selected_config,selected_model,feature_mode,k,feature_count,inner_macro_f1,train_seconds,predict_seconds,test_samples,accuracy,balanced_accuracy,macro_f1,log_loss,brier_macro,ece
1,42,xgb_chi2_k40_t100_d6,xgboost,chi2,40,40,0.954898334253269,0.3594745999726001,0.003825199994025752,954,0.9612159329140462,0.9612510333425185,0.9613517542682875,0.1225571028678346,0.01265041525495016,0.009567942508596643
2,42,xgb_chi2_k60_t100_d6,xgboost,chi2,60,60,0.9538551225906208,0.5230030000093393,0.0050165999855380505,953,0.9727177334732424,0.9727418021493526,0.972701597730601,0.10791497984368624,0.010083127485551627,0.01399856674365388
3,42,xgb_chi2_k60_t100_d6,xgboost,chi2,60,60,0.9554292893630102,0.4828647000249475,0.0035340000176802278,953,0.9538300104931794,0.9537227886470102,0.9538393532300429,0.15438033668818898,0.01572810876799897,0.0196681870447676
