model,metric,estimate,ci95_low,ci95_high,replicates,seed
extra_trees_chi2,accuracy,0.6652334450760337,0.6617351090705922,0.6686713550017004,200,20260905
extra_trees_chi2,balanced_accuracy,0.6012543978858632,0.5854292500724473,0.619108950512704,200,20260905
extra_trees_chi2,macro_f1,0.42812089674192844,0.42142450723080005,0.43482224394839986,200,20260905
extra_trees_chi2,log_loss,0.8436755317431551,0.8350968017780257,0.8517827954248902,200,20260905
extra_trees_chi2,brier_macro,0.03954537498901165,0.03921022564401465,0.03988147608244268,200,20260905
extra_trees_chi2,ece,0.09407675035949721,0.09162179605927642,0.09599042128812366,200,20260905
rf_all,accuracy,0.703748238837876,0.7007339187679152,0.7067750085021619,200,20260905
rf_all,balanced_accuracy,0.5774306634312684,0.5626413759039923,0.5913342858498448,200,20260905
rf_all,macro_f1,0.48478105794601023,0.4730162106780423,0.49640989704008254,200,20260905
rf_all,log_loss,0.6672100720608292,0.6600320079189924,0.6733894895684156,200,20260905
rf_all,brier_macro,0.03400422820202281,0.033692651347847914,0.03428587972336218,200,20260905
rf_all,ece,0.08158714597993644,0.07963967878924273,0.08390471013590237,200,20260905
rf_chi2,accuracy,0.708594471165525,0.7051571685371423,0.7112726521886995,200,20260905
rf_chi2,balanced_accuracy,0.5472339967526388,0.5329686185037642,0.5637318381613134,200,20260905
rf_chi2,macro_f1,0.4731816112757704,0.4588387064313237,0.48713984597495524,200,20260905
rf_chi2,log_loss,0.6901315974763162,0.683338854571514,0.6970386982328521,200,20260905
rf_chi2,brier_macro,0.03458050066789755,0.03424047599935383,0.03489589053728031,200,20260905
rf_chi2,ece,0.07572306761841328,0.07311049544701695,0.07810824935872508,200,20260905
xgboost_chi2,accuracy,0.769494242821746,0.7668200092309186,0.7724539061361317,200,20260905
xgboost_chi2,balanced_accuracy,0.5317649316780237,0.5144307237172427,0.5461636946848906,200,20260905
xgboost_chi2,macro_f1,0.4869642486392444,0.46869240863666134,0.5008734699546717,200,20260905
xgboost_chi2,log_loss,0.5221619168035235,0.5155496327456329,0.5284243504350463,200,20260905
xgboost_chi2,brier_macro,0.028356184654259136,0.028025103047384755,0.0286684260784001,200,20260905
xgboost_chi2,ece,0.03753567330386858,0.03644782386370705,0.040063550762301774,200,20260905
