,precision,recall,f1-score,support
Analysis,0.014184397163120567,0.026587887740029542,0.018499486125385406,677.0
Backdoor,0.03889515219842165,0.35506003430531735,0.07011007620660457,583.0
DoS,0.29996411912450666,0.20445096600635854,0.24316463059918558,4089.0
Exploits,0.7293517100561511,0.6417535034135825,0.6827543365030821,11132.0
Fuzzers,0.25963231668662395,0.6080501484658528,0.36388765486944075,6062.0
Generic,1.0,0.9625351067775952,0.9809099500472526,18871.0
Normal,0.9788405231309779,0.6776486486486486,0.800862413159786,37000.0
Reconnaissance,0.8012784880489161,0.8246567505720824,0.8127995489145757,3496.0
Shellcode,0.2012820512820513,0.8306878306878307,0.3240454076367389,378.0
Worms,0.6,0.3409090909090909,0.43478260869565216,44.0
accuracy,0.708594471165525,0.708594471165525,0.708594471165525,0.708594471165525
macro avg,0.4923428757690768,0.5472339967526388,0.4731816112757704,82332.0
weighted avg,0.8373866771031971,0.708594471165525,0.7528037034804779,82332.0
