,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Normal,Reconnaissance,Shellcode,Worms
Analysis,20,473,126,57,0,0,1,0,0,0
Backdoor,20,404,127,9,8,0,0,3,11,1
DoS,164,2478,520,613,104,5,3,57,134,11
Exploits,220,2645,471,6259,468,0,12,470,405,182
Fuzzers,35,967,252,30,4324,0,99,187,159,9
Generic,11,23,84,352,95,18160,0,21,115,10
Normal,1909,10,13,263,11870,0,21826,495,600,14
Reconnaissance,19,290,29,53,57,1,3,2909,105,30
Shellcode,0,0,0,0,23,0,1,35,319,0
Worms,0,0,0,5,2,0,0,3,5,29
