seed,model,variant,temperature,macro_f1,log_loss,brier_macro,ece,mce
42,equal_rf,uncalibrated,1.0,0.9605030012596144,0.13185090535976293,0.013795592177752124,0.026243873418694125,0.3905902091419293
42,equal_rf,temperature_scaled,1.0,0.9605030012596144,0.13185090536238075,0.013795592177760205,0.026243873421242354,0.39059020914153875
42,cfrg_forest,uncalibrated,1.0,0.9624852863317515,0.1433726709304493,0.014008255661070876,0.023811778842601723,0.20323564578079623
42,cfrg_forest,temperature_scaled,1.5,0.9624852863317515,0.13693323643911762,0.013463035976128778,0.011917987311452587,0.3288026641041718
2024,equal_rf,uncalibrated,1.0,0.9605030012596144,0.13518874947617768,0.01399414427903142,0.025258271088228607,0.2583154513507662
2024,equal_rf,temperature_scaled,1.0,0.9605030012596144,0.135188749478746,0.013994144279039014,0.025258271090726814,0.25831545135109296
2024,cfrg_forest,uncalibrated,1.0,0.9624852863317515,0.1428840491562456,0.01396287767520736,0.022720620407401082,0.20043652125845768
2024,cfrg_forest,temperature_scaled,1.5,0.9624852863317515,0.13610275449733897,0.013412692946191292,0.01770660798360782,0.31779192637645126
3407,equal_rf,uncalibrated,1.0,0.9585207729615967,0.1328034159417584,0.013660841710868371,0.02722905527290372,0.6164741692787222
3407,equal_rf,temperature_scaled,1.0,0.9585207729615967,0.13280341594434256,0.01366084171087606,0.027229055275409357,0.6164741692791057
3407,cfrg_forest,uncalibrated,1.0,0.9605030012596144,0.14809536134717172,0.01468011992591857,0.02436420005941065,0.21109147349505752
3407,cfrg_forest,temperature_scaled,1.5,0.9605030012596144,0.14012910568308717,0.013990018708402135,0.01604460751361236,0.32528672408451886
