,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,101,0,0,0,0
Brute Force,0,92,0,1,8
DoS/DDoS,0,1,98,1,1
Normal,1,1,1,98,0
Web Attack,0,11,1,0,89
