model,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,train_seconds_mean,train_seconds_std,predict_seconds_mean,predict_seconds_std
decision_tree_all,0.9405940594059405,,0.9417712523726559,,0.9405940594059405,,0.9408588108693181,,0.028293899988057092,,0.00033969999640248716,
decision_tree_chi2,0.9465346534653465,,0.9469099639855942,,0.9465346534653465,,0.9465997786297423,,0.02606420000665821,,0.0005768000264652073,
random_forest_all,0.9564356435643564,,0.9568056874368756,,0.9564356435643564,,0.956370169693838,,0.39676729997154325,,0.039516500022727996,
random_forest_chi2,0.9544554455445544,,0.9552543448790374,,0.9544554455445544,,0.9544638234336607,,0.48309260001406074,,0.05078169997432269,
svm_all,0.9326732673267327,,0.9336124415563669,,0.9326732673267326,,0.9323791432145091,,0.036951899994164705,,0.01603669999167323,
svm_chi2,0.9326732673267327,,0.9336124415563669,,0.9326732673267326,,0.9323791432145091,,0.03382340000825934,,0.02837410001666285,
weighted_rf_chi2,0.9544554455445544,,0.9552543448790374,,0.9544554455445544,,0.9544638234336607,,0.8095204000128433,,0.027420600003097206,
