,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,291,0,0,1,0
Brute Force,0,1458,1,2,132
DoS/DDoS,0,0,2997,3,0
Normal,19,0,4,2977,0
Web Attack,0,14,0,2,85
