model,condition,mean,std,relative_drop_pct
equal_rf_chi2,clean,0.891714,,0.0
equal_rf_chi2,label_noise_10pct,0.8849,,0.764
equal_rf_chi2,label_noise_5pct,0.884464,,0.813
equal_rf_chi2,missing_10pct,0.856169,,3.986
equal_rf_chi2,offset_drift,0.723953,,18.813
rccf,clean,0.889284,,0.0
rccf,label_noise_10pct,0.877589,,1.315
rccf,label_noise_5pct,0.883911,,0.604
rccf,missing_10pct,0.851135,,4.29
rccf,offset_drift,0.736423,,17.189
