model,condition,accuracy,macro_precision,macro_recall,macro_f1
rf_all,clean,0.9584158415841584,0.9597406056834883,0.9584158415841584,0.9584269614247809
rf_all,gaussian_noise_1pct_mean,0.6568316831683167,0.828020088925894,0.6568316831683167,0.6535360542490035
rf_all,gaussian_noise_5pct_mean,0.48237623762376225,0.7848157306572885,0.48237623762376225,0.4275866218998118
rf_all,feature_mask_1pct_mean,0.9588118811881188,0.9601517578185265,0.9588118811881188,0.9588116618191721
rf_all,feature_mask_5pct_mean,0.9572277227722772,0.9586537857898826,0.9572277227722772,0.9572556251912973
rf_chi2,clean,0.9564356435643564,0.9574777066904726,0.9564356435643564,0.9564454883852503
rf_chi2,gaussian_noise_1pct_mean,0.654059405940594,0.8025473042658259,0.654059405940594,0.6450966791231831
rf_chi2,gaussian_noise_5pct_mean,0.47386138613861384,0.7478248712398445,0.473861386138614,0.41314020955478786
rf_chi2,feature_mask_1pct_mean,0.9544554455445544,0.9557590438841842,0.9544554455445544,0.9545197130298512
rf_chi2,feature_mask_5pct_mean,0.9552475247524754,0.9569496259366028,0.9552475247524754,0.9553504307992983
extra_trees_chi2,clean,0.9524752475247524,0.9529200403004212,0.9524752475247524,0.9524441785946521
extra_trees_chi2,gaussian_noise_1pct_mean,0.8065346534653466,0.883048008521563,0.8065346534653466,0.8151297879673036
extra_trees_chi2,gaussian_noise_5pct_mean,0.5920792079207919,0.8432585016680825,0.5920792079207919,0.5996982339977212
extra_trees_chi2,feature_mask_1pct_mean,0.9518811881188117,0.9524425278813556,0.9518811881188117,0.9518384287293709
extra_trees_chi2,feature_mask_5pct_mean,0.9536633663366336,0.9545218534150338,0.9536633663366336,0.953592421658435
weighted_rf_chi2,clean,0.9524752475247524,0.9529497364601636,0.9524752475247524,0.9523812208390527
weighted_rf_chi2,gaussian_noise_1pct_mean,0.6063366336633662,0.7922306291478136,0.6063366336633662,0.5823403481856512
weighted_rf_chi2,gaussian_noise_5pct_mean,0.46455445544554463,0.7855628849349116,0.46455445544554463,0.40189772069808083
weighted_rf_chi2,feature_mask_1pct_mean,0.9512871287128712,0.9519483096192809,0.9512871287128712,0.9512629953622976
weighted_rf_chi2,feature_mask_5pct_mean,0.9485148514851485,0.949834069218156,0.9485148514851485,0.9485552328913125
