,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,293,0,0,0,0
Brute Force,0,1399,0,3,191
DoS/DDoS,0,0,2996,2,1
Normal,55,1,6,2922,16
Web Attack,0,2,0,2,97
