,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,293,0,0,0,0
Brute Force,0,1463,0,2,128
DoS/DDoS,0,0,2993,6,0
Normal,15,0,4,2981,0
Web Attack,0,14,0,1,86
