model,batch_size,seconds,rows_per_second,peak_rss_mb,model_size_mb
rccf,1,0.0724052000005031,13.8111627340723,36.99609375,9.088582038879395
rccf,64,0.09566379999887431,669.0095940235815,36.99609375,9.088582038879395
rccf,1024,0.11826610000025539,8658.44058439222,36.99609375,9.088582038879395
rccf,7986,0.18544350000047416,43064.32956657732,36.99609375,9.088582038879395
equal_rf_chi2,1,0.01620530000036524,61.708206573001526,78.30859375,2.2122087478637695
equal_rf_chi2,64,0.02833739999914542,2258.4993683940684,78.30859375,2.2122087478637695
equal_rf_chi2,1024,0.02934850000019651,34891.050649714416,78.30859375,2.2122087478637695
equal_rf_chi2,7986,0.0398750000003929,200275.86206699212,78.30859375,2.2122087478637695
