model,accuracy,balanced_accuracy,macro_f1,train_seconds,predict_seconds,feature_count,test_samples,log_loss,brier_macro,ece
rf_all,0.8635767380848273,0.6034873219135913,0.5656240193645672,3.847070200019516,0.4068081000004895,43,82332,0.39354287609631483,0.016923001216225655,0.052289753524731725
rf_chi2,0.8572487003838118,0.5913909884821809,0.5430460370494152,3.191746600001352,0.43292619998101145,20,82332,0.4445905936736791,0.018528710703321093,0.043150916114713736
extra_trees_chi2,0.8319972793081669,0.584656853171694,0.49344163203568076,2.0432545999938156,0.5328384999884292,20,82332,0.514436904870863,0.02238726758033571,0.03637164960464955
xgboost_chi2,0.8797429917893407,0.5554605737841181,0.5402183109151449,6.937156800006051,0.36810689998674206,20,82332,0.31011034181443003,0.01497106112865641,0.0257440660752776
