,DoS,Normal,Probe,R2L,U2R
DoS,0.7642799678197908,0.22955215875569857,0.006167873424510592,0.0,0.0
Normal,0.005869632375656472,0.9732262382864793,0.020183297291731028,0.0004119040263618577,0.00030892801977139327
Probe,0.06732755059892606,0.33044196612969845,0.6022304832713755,0.0,0.0
R2L,0.0,0.8892519970951344,0.002541757443718228,0.10530137981118373,0.002904865649963689
U2R,0.0,0.915,0.025,0.015,0.045
